"individual","call.id","call.dur","nnotes","min5","min95","minbw","maxbw","mean5","mean95","max5","max95","meanbw","mindurnote","maxdurnote","noterate","note1dur","note1minfreq","note1maxfreq","note2dur","note2minfreq","note2maxfreq","range.bw","rest.dur","lastnotedur","lastnoteminfreq","lastnotemaxfreq","site","Site"
"CHILL","CHILL_79.3",1.69435509300001,4,732.129,775.195,43.066,355.298,769.812,928.6195,829.028,1108.96,158.80725,0.1088,0.2177,2.3607802263678,0.2177,753.662,1108.96,0.1905,829.028,979.761,312.232,0.986855093000013,0.1088,732.129,775.195,"SA","SA"
"CHILL","CHILL_79.4",1.76472408699999,6,678.296,947.461,258.398,301.465,768.017666666667,1042.566,861.328,1119.727,274.548333333333,0.0816,0.1633,3.39996492607517,0.1088,742.896,1022.827,0.0816,839.795,1108.96,43.067,1.08452408699999,0.1361,678.296,979.761,"SA","SA"
"CHILL","CHILL_79.5",2.01397890099997,5,710.596,818.262,107.666,193.799,762.2756,928.0812,818.262,1012.061,165.8056,0.0544,0.2721,2.48264765709185,0.0544,764.429,947.461,0.1361,818.262,1012.061,86.133,1.33377890099997,0.1088,710.596,818.262,"SA","SA"
"CHILL","CHILL_79.6",2.07380005600021,5,753.662,925.928,129.199,236.865,794.5752,971.1476,839.795,1076.66,176.5722,0.0816,0.1361,2.41103282138184,0.0816,785.962,925.928,0.1361,818.262,947.461,107.666,1.55690005600021,0.1088,753.662,925.928,"SA","SA"
"CHILL","CHILL_79.7",1.71487312399995,4,656.763,807.495,86.133,290.698,745.58725,923.23625,818.262,1065.894,177.64875,0.1633,0.3265,2.33253407731412,0.1633,775.195,1065.894,0.2177,818.262,1001.294,204.565,0.680873123999951,0.3265,656.763,807.495,"SA","SA"
"CRIP","CRIP_80.1",1.493743268,2,764.429,936.694,172.266,430.664,769.812,1071.2765,775.195,1205.859,301.465,0.2721,0.2721,1.33891816809848,0.2721,775.195,1205.859,0.2721,764.429,936.694,258.398,0.949543268000003,0.2721,764.429,936.694,"SA","SA"
"CRIP","CRIP_80.3",0.909536549999984,2,807.495,1152.026,269.165,484.497,845.178,1222.009,882.861,1291.992,376.831,0.1361,0.1633,2.19892207740308,0.1633,807.495,1291.992,0.1361,882.861,1152.026,215.332,0.610136549999984,0.1361,882.861,1152.026,"SA","SA"
"CRIP","CRIP_80.4",0.954335976000038,2,721.362,1012.061,236.865,419.897,748.2785,1076.6605,775.195,1141.26,328.381,0.1361,0.1361,2.095698003949,0.1361,721.362,1141.26,0.1361,775.195,1012.061,183.032,0.682135976000039,0.1361,775.195,1012.061,"SA","SA"
"CRIP","CRIP_80.5",1.431503964,3,753.662,990.527,204.565,484.497,785.962,1091.01533333333,839.795,1238.159,305.053666666667,0.0816,0.1633,2.09569800394908,0.1633,753.662,1238.159,0.0816,839.795,1044.36,279.932,1.105003964,0.0816,764.429,990.527,"SA","SA"
"CRIP","CRIP_80.6",1.45225039899998,3,764.429,925.928,161.499,527.563,793.14,1105.371,850.562,1291.992,312.231333333333,0.1905,0.2177,2.06575945998418,0.2177,764.429,1291.992,0.1905,850.562,1098.193,366.064,0.826350398999979,0.2177,764.429,925.928,"SA","SA"
"CRIP","CRIP_80.7",1.47299683299997,3,796.729,936.694,139.966,495.264,846.973,1173.55933333333,893.628,1345.825,326.587,0.1088,0.1633,2.03666425669774,0.1088,850.562,1345.825,0.1088,893.628,1238.159,355.298,1.09209683299997,0.1633,796.729,936.694,"SA","SA"
"CRIP","CRIP_80.8",1.30702535900002,3,764.429,1065.894,279.932,441.431,803.906333333333,1166.382,861.328,1227.393,362.475666666667,0.1088,0.1361,2.29528828904685,0.1088,764.429,1205.859,0.1088,861.328,1227.393,161.499,0.953325359000022,0.1361,785.962,1065.894,"SA","SA"
"CRIP","CRIP_80.9",1.36926466199998,3,796.729,1162.793,366.064,506.03,825.439666666667,1241.748,882.861,1302.759,416.308333333333,0.1361,0.1633,2.19095700287637,0.1633,796.729,1302.759,0.1361,882.861,1259.692,139.966,0.933764661999978,0.1361,796.729,1162.793,"SA","SA"
"CRIP","CRIP_80.10",1.53523613599998,3,775.195,990.527,215.332,549.097,818.261666666667,1180.73733333333,872.095,1356.592,362.475666666667,0.1361,0.1633,1.95409678658061,0.1361,807.495,1356.592,0.1361,872.095,1195.093,333.765,1.09973613599998,0.1633,775.195,990.527,"SA","SA"
"CRIP","CRIP_80.11",1.20329318799998,3,775.195,1033.594,226.099,484.497,821.850333333333,1141.25966666667,882.861,1259.692,319.409333333333,0.1633,0.2449,2.49315796841365,0.2449,775.195,1259.692,0.1905,882.861,1130.493,258.398,0.604593187999975,0.1633,807.495,1033.594,"SA","SA"
"CRIP","CRIP_80.12",0.995828845000005,2,742.896,1162.793,290.698,484.497,807.4955,1195.093,872.095,1227.393,387.5975,0.2177,0.2449,2.00837725281998,0.2449,742.896,1227.393,0.2177,872.095,1162.793,193.799,0.533228845000005,0.2177,872.095,1162.793,"SA","SA"
"CRIP","CRIP_81.1",1.00502498700001,2,775.195,925.928,118.433,430.664,791.345,1065.8935,807.495,1205.859,274.5485,0.1905,0.2721,1.99000027449066,0.1905,775.195,1205.859,0.2721,807.495,925.928,312.231,0.542424987000013,0.2721,807.495,925.928,"SA","SA"
"CRIP","CRIP_81.2",1.484696004,3,775.195,947.461,172.266,387.598,796.728333333333,1051.53833333333,807.495,1195.093,254.809666666667,0.1361,0.2993,2.02061566267946,0.1361,807.495,1195.093,0.2449,807.495,1012.061,215.332,0.804396004,0.2993,775.195,947.461,"SA","SA"
"CRIP","CRIP_81.3",1.34764714300002,3,753.662,1119.727,312.231,409.131,807.495,1169.971,861.328,1270.459,362.475333333333,0.1088,0.1905,2.22610199975763,0.1088,753.662,1119.727,0.1905,861.328,1270.459,96.9,0.857847143000017,0.1905,807.495,1119.727,"SA","SA"
"CRIP","CRIP_81.4",1.71311077400003,4,753.662,904.395,150.732,419.897,807.495,1082.04375,915.161,1227.393,274.548,0.0816,0.2177,2.33493365444209,0.1633,775.195,1195.093,0.0816,915.161,1227.393,269.165,1.03281077400003,0.2177,753.662,904.395,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.1",1.219333345,3,667.529,829.028,129.199,215.332,703.417666666667,872.094666666667,753.662,904.395,168.676666666667,0.1088,0.1905,2.46036082938419,0.1088,667.529,829.028,0.1361,753.662,882.861,86.133,0.783933345000003,0.1905,689.062,904.395,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.2",1.327718531,3,645.996,775.195,129.199,161.499,674.707,821.850333333333,732.129,882.861,147.143333333333,0.1361,0.4354,2.25951504777182,0.1361,732.129,882.861,0.2177,645.996,775.195,32.3,0.538518531000002,0.4354,645.996,807.495,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.3",1.28371832799999,3,667.529,785.962,107.666,215.332,703.418,872.095,764.429,979.761,168.676666666667,0.1088,0.4354,2.3369612589967,0.1361,667.529,850.562,0.1088,764.429,979.761,107.666,0.603418327999992,0.4354,678.296,785.962,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.4",1.55195797900001,4,613.696,732.129,107.666,269.165,675.604,839.795,732.129,958.228,164.19075,0.0816,0.1361,2.5773893714425,0.0816,667.529,775.195,0.0816,732.129,893.628,161.499,1.14385797900001,0.1361,613.696,732.129,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.5",1.07030371500002,3,678.296,732.129,53.833,226.099,699.829333333333,864.917,742.896,968.994,165.088,0.0816,0.2449,2.80294271425559,0.1088,678.296,893.628,0.0816,742.896,968.994,172.266,0.635003715000023,0.2449,678.296,732.129,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.6",1.11127855300003,3,656.763,796.729,139.966,258.398,707.007,897.217,764.429,958.228,190.21,0.0816,0.1905,2.69959317751713,0.0816,656.763,796.729,0.1905,764.429,936.694,118.432,0.703078553000034,0.1361,699.829,958.228,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.7",1.28707408600002,4,635.229,775.195,118.433,161.499,691.754,834.4115,785.962,936.694,142.6575,0.0816,0.4354,3.10782420647691,0.1361,656.763,818.262,0.1088,785.962,936.694,43.066,0.525174086000018,0.0816,635.229,775.195,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.8",0.975466677000043,3,689.062,925.928,172.266,258.398,717.773333333333,940.283333333333,764.429,958.228,222.509666666667,0.0816,0.1088,3.0754510335773,0.0816,689.062,925.928,0.0816,764.429,936.694,86.132,0.703466677000043,0.1088,699.829,958.228,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.9",1.31417038400002,4,624.463,861.328,161.499,290.698,691.754,901.70275,775.195,936.694,209.94875,0.0816,0.2993,3.04374535349439,0.1361,667.529,861.328,0.1361,775.195,936.694,129.199,0.661070384000022,0.2993,624.463,915.161,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.10",2.22189631800006,5,592.163,775.195,96.899,269.165,684.7558,876.4012,764.429,947.461,191.6454,0.1633,0.517,2.25033002642559,0.1905,667.529,936.694,0.1633,764.429,947.461,172.266,0.942896318000063,0.2449,592.163,861.328,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.11",1.15940381199994,3,678.296,861.328,172.266,258.398,714.184333333333,925.927666666667,775.195,979.761,211.743,0.1361,0.3265,2.58753677446091,0.1633,678.296,936.694,0.1361,775.195,979.761,86.132,0.533503811999937,0.3265,689.062,861.328,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.12",0.826437045000034,3,656.763,807.495,139.966,226.099,696.240333333333,893.627666666667,764.429,990.527,197.388,0.1088,0.1633,3.63004056769972,0.1633,656.763,882.861,0.1088,764.429,990.527,86.133,0.445537045000034,0.1088,667.529,807.495,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.13",1.24642964199995,3,656.763,893.628,183.032,290.698,674.707333333333,922.339,710.596,947.461,247.631666666667,0.1088,0.2721,2.40687472353944,0.1088,656.763,925.928,0.2721,710.596,893.628,107.666,0.729429641999953,0.1361,656.763,947.461,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.14",1.73416297999995,4,645.996,872.095,150.732,322.998,683.679,912.4695,721.362,990.527,228.79025,0.1088,0.3537,2.30658827695659,0.1361,645.996,893.628,0.3537,699.829,893.628,172.266,0.917862979999951,0.2177,721.362,872.095,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.15",1.34126667999999,4,656.763,818.262,129.199,322.998,707.904,934.00275,785.962,1022.827,226.0985,0.1088,0.2449,2.98225554965701,0.1088,656.763,979.761,0.1088,785.962,1022.827,193.799,0.76996667999999,0.2449,689.062,818.262,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.16",1.57158520000007,4,656.763,785.962,75.366,269.165,721.3625,901.70275,818.262,968.994,180.3405,0.0816,0.2993,2.54520085834342,0.1088,656.763,882.861,0.0816,818.262,968.994,193.799,0.973085200000072,0.1088,699.829,968.994,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.17",1.31063282499986,4,678.296,861.328,150.732,333.765,718.67075,974.3775,796.729,1022.827,255.70675,0.1088,0.2449,3.05196079611423,0.1088,689.062,1001.294,0.1361,796.729,1022.827,183.033,0.657532824999857,0.1633,678.296,1012.061,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.18",2.20868686499989,9,667.529,807.495,75.366,247.632,721.362333333333,891.235333333333,796.729,990.527,169.873,0.0544,0.1905,4.07481936105073,0.1361,667.529,904.395,0.1361,796.729,990.527,172.266,1.06568686499989,0.1905,667.529,915.161,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.19",1.359027212,6,667.529,807.495,86.133,344.531,753.662166666667,920.5445,839.795,1022.827,166.882333333333,0.0544,0.1361,4.41492263511792,0.1088,667.529,1012.061,0.0816,839.795,1022.827,258.398,0.842127212000001,0.0544,721.362,807.495,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.20",1.18791845300007,3,689.062,893.628,193.799,258.398,692.651,911.572333333333,699.829,947.461,218.920666666667,0.0544,0.2721,2.52542587618162,0.1088,689.062,947.461,0.2721,699.829,893.628,64.599,0.752618453000066,0.0544,689.062,893.628,"SA","SA"
"SAFEAGG1","SAFEAGG1_82.21",1.30062223499999,4,678.296,893.628,150.732,258.398,715.97925,920.5445,796.729,947.461,204.56525,0.0816,0.1361,3.07545103594206,0.1361,678.296,936.694,0.0816,796.729,947.461,107.666,0.838022234999992,0.1088,678.296,904.395,"SA","SA"
"SAFEAGG2","SAFEAGG2_83.1",0.860518116000001,2,602.93,861.328,258.398,258.398,645.996,904.3945,689.062,947.461,258.398,0.1219,0.1509,2.3241811680813,0.1219,602.93,861.328,0.1509,689.062,947.461,0,0.587718116000002,0.1509,689.062,947.461,"SA","SA"
"SAFEAGG2","SAFEAGG2_83.2",1.273566811,2,602.93,861.328,258.398,258.398,645.996,904.3945,689.062,947.461,258.398,0.1103,0.1509,1.5703926819745,0.1103,602.93,861.328,0.1509,689.062,947.461,0,1.012366811,0.1509,689.062,947.461,"SA","SA"
"SAFEAGG2","SAFEAGG2_83.3",1.101463188,2,602.93,775.195,172.266,172.266,645.996,818.2615,689.062,861.328,172.266,0.0639,0.0755,1.8157665383548,0.0755,602.93,775.195,0.0639,689.062,861.328,0,0.962063187999997,0.0639,689.062,861.328,"SA","SA"
"SAFEAGG2","SAFEAGG2_83.4",1.06704246400002,2,602.93,947.461,258.398,344.531,645.996,947.461,689.062,947.461,301.4645,0.1393,0.1451,1.87433965139737,0.1393,602.93,947.461,0.1451,689.062,947.461,86.133,0.782642464000025,0.1451,689.062,947.461,"SA","SA"
